Date,Employee ID,Employee Name,Role,Department,Entity,Seniority Level,Headcount,Base Salary,Bonus,Total Compensation,Attrition Flag,New Hire Flag,Budgeted Salary,Budgeted Headcount
2020-01-01,EMP00001,Employee_1,Support Agent,R&D,Tapstorm SG,Junior,1,3166.6,521.74,3688.34,0,1,3163.4881576915027,0
2020-01-01,EMP00002,Employee_2,UX Researcher,R&D,Tapstorm SG,Mid,1,4071.66,865.42,4937.08,0,0,3981.738121869677,0
2020-01-01,EMP00003,Employee_3,Game Designer,R&D,Tapstorm SG,Junior,1,4676.79,439.78,5116.57,0,0,4515.736686414994,1
2020-01-01,EMP00004,Employee_4,Backend Engineer,R&D,Tapstorm SG,Senior,1,2836.97,244.23,3081.2,0,0,2907.482797111616,1
2020-01-01,EMP00005,Employee_5,Backend Engineer,R&D,Tapstorm SG,Mid,1,4369.4,263.46,4632.86,0,0,4616.241349476547,0
2020-01-01,EMP00006,Employee_6,UX Researcher,R&D,Tapstorm SG,Junior,1,3458.13,778.57,4236.7,0,0,3483.3372956709463,0
2020-01-01,EMP00007,Employee_7,Localization Lead,Human Resources,Tapstorm SG,Mid,1,3307.24,392.49,3699.7299999999996,0,0,3628.8122295909593,1
2020-01-01,EMP00008,Employee_8,Localization Lead,Human Resources,Tapstorm SG,Junior,1,4828.79,373.64,5202.43,0,0,5146.530134501743,1
2020-01-01,EMP00009,Employee_9,Localization Lead,Human Resources,Tapstorm SG,Mid,1,3674.1,222.83,3896.93,0,0,3744.6475355405546,1
2020-01-01,EMP00010,Employee_10,Localization Lead,Human Resources,Tapstorm SG,Lead,1,4953.4,353.0,5306.4,0,0,4728.7039451521305,1
2020-01-01,EMP00011,Employee_11,Backend Engineer,Marketing,Tapstorm SG,Senior,1,4902.3,390.43,5292.7300000000005,0,0,5075.078655784766,1
2020-01-01,EMP00012,Employee_12,UX Researcher,Marketing,Tapstorm SG,Lead,1,5406.36,1159.19,6565.549999999999,0,0,5290.262068092509,1
2020-01-01,EMP00013,Employee_13,LiveOps Analyst,Marketing,Tapstorm SG,Senior,1,2664.11,436.93,3101.04,0,0,2824.199697632339,1
2020-01-01,EMP00014,Employee_14,Game Designer,Marketing,Tapstorm SG,Mid,1,2847.43,329.57,3177.0,0,0,3023.1723143172435,1
2020-01-01,EMP00015,Employee_15,Backend Engineer,LiveOps,Tapstorm SG,Senior,1,4877.79,1141.34,6019.13,0,0,5278.023157801026,1
2020-01-01,EMP00016,Employee_16,UX Researcher,LiveOps,Tapstorm SG,Mid,1,2374.19,590.83,2965.02,0,0,2560.2818479563994,1
2020-01-01,EMP00017,Employee_17,LiveOps Analyst,LiveOps,Tapstorm SG,Junior,1,3896.61,576.02,4472.63,0,0,3725.5120623244306,1
2020-01-01,EMP00018,Employee_18,Backend Engineer,LiveOps,Tapstorm SG,Mid,1,2919.77,729.24,3649.01,0,0,3139.166587094986,1
2020-01-01,EMP00019,Employee_19,UX Researcher,BI & Analytics,Tapstorm SG,Senior,1,4002.28,916.34,4918.62,0,0,4197.890154497758,1
2020-01-01,EMP00020,Employee_20,Support Agent,BI & Analytics,Tapstorm SG,Senior,1,5078.63,741.25,5819.88,0,0,5138.654569586029,0
2020-01-01,EMP00021,Employee_21,Game Designer,BI & Analytics,Tapstorm SG,Lead,1,3590.8,254.18,3844.98,0,0,3425.949034434759,1
2020-01-01,EMP00022,Employee_22,UX Researcher,BI & Analytics,Tapstorm SG,Junior,1,4730.71,1005.89,5736.6,0,0,5046.455821014702,1
2020-01-01,EMP00023,Employee_23,Game Designer,BI & Analytics,Tapstorm SG,Lead,1,5604.84,979.85,6584.6900000000005,0,0,5785.491809081627,1
2020-01-01,EMP00024,Employee_24,Support Agent,BI & Analytics,Tapstorm SG,Senior,1,3971.82,876.75,4848.57,0,0,4364.445797894404,1
2020-01-01,EMP00025,Employee_25,Backend Engineer,Infrastructure,Tapstorm SG,Mid,1,4655.91,327.4,4983.3099999999995,0,0,4889.400571533991,1
2020-01-01,EMP00026,Employee_26,Game Designer,Infrastructure,Tapstorm SG,Junior,1,2519.48,528.4,3047.88,0,1,2447.5702020821063,1
2020-01-01,EMP00027,Employee_27,Backend Engineer,Infrastructure,Tapstorm SG,Mid,1,4981.96,662.08,5644.04,0,0,4986.7499239837125,1
2020-01-01,EMP00028,Employee_28,Backend Engineer,Infrastructure,Tapstorm SG,Lead,1,4097.86,763.07,4860.929999999999,0,0,3986.5997889367045,1
2020-01-01,EMP00029,Employee_29,LiveOps Analyst,Infrastructure,Tapstorm SG,Mid,1,2150.52,366.07,2516.59,0,0,2067.152434733441,1
2020-01-01,EMP00030,Employee_30,Game Designer,R&D,TapForge CN,Junior,1,4819.29,647.15,5466.44,0,0,4785.659700204966,1
2020-01-01,EMP00031,Employee_31,LiveOps Analyst,R&D,TapForge CN,Junior,1,3639.05,331.48,3970.53,0,1,3959.394826990021,1
2020-01-01,EMP00032,Employee_32,Backend Engineer,R&D,TapForge CN,Senior,1,4862.0,664.89,5526.89,0,0,4877.941450679894,1
2020-01-01,EMP00033,Employee_33,Backend Engineer,R&D,TapForge CN,Senior,1,3114.29,664.03,3778.3199999999997,0,0,3068.756961693899,1
2020-01-01,EMP00034,Employee_34,Game Designer,R&D,TapForge CN,Mid,1,3643.85,596.05,4239.9,0,0,3784.9861069684184,1
2020-01-01,EMP00035,Employee_35,Support Agent,R&D,TapForge CN,Mid,1,3874.05,210.26,4084.3100000000004,0,0,4161.033871964653,0
2020-01-01,EMP00036,Employee_36,Localization Lead,Human Resources,TapForge CN,Senior,1,4882.22,1171.37,6053.59,0,1,5134.800649980109,0
2020-01-01,EMP00037,Employee_37,Game Designer,Human Resources,TapForge CN,Senior,1,2788.23,592.58,3380.81,0,0,2723.929413484927,1
2020-01-01,EMP00038,Employee_38,UX Researcher,Human Resources,TapForge CN,Lead,1,5196.9,463.65,5660.549999999999,0,0,4974.671601317169,1
2020-01-01,EMP00039,Employee_39,Support Agent,Human Resources,TapForge CN,Senior,1,3925.4,470.51,4395.91,0,0,3996.971562583134,1
2020-01-01,EMP00040,Employee_40,Localization Lead,Marketing,TapForge CN,Junior,1,2488.54,339.66,2828.2,0,0,2467.0402649032135,1
2020-01-01,EMP00041,Employee_41,LiveOps Analyst,H.R.,TapForge CN,Junior,1,3209.48,763.38,3972.86,0,0,3373.534472225368,0
2020-01-01,EMP00042,Employee_42,UX Researcher,Marketing,TapForge CN,Junior,1,3979.42,778.91,4758.33,0,0,4195.659984311787,1
2020-01-01,EMP00043,Employee_43,Backend Engineer,Marketing,TapForge CN,Senior,1,2780.66,259.78,3040.4399999999996,0,0,2827.6800409991656,1
2020-01-01,EMP00044,Employee_44,Localization Lead,Marketing,TapForge CN,Lead,1,3165.89,378.17,3544.06,1,0,3127.821431347464,1
2020-01-01,EMP00045,Employee_45,Localization Lead,Marketing,TapForge CN,Mid,1,4599.85,308.85,4908.700000000001,0,0,4807.594929066576,1
2020-01-01,EMP00046,Employee_46,Support Agent,LiveOps,TapForge CN,Senior,1,3596.49,440.97,4037.46,0,0,3938.168011189114,1
2020-01-01,EMP00047,Employee_47,Localization Lead,LiveOps,TapForge CN,Mid,1,2820.87,180.95,3001.8199999999997,0,0,3024.158474939316,1
2020-01-01,EMP00048,Employee_48,LiveOps Analyst,LiveOps,TapForge CN,Senior,1,3052.91,336.47,3389.38,0,0,3190.563692009424,1
2020-01-01,EMP00049,Employee_49,Localization Lead,LiveOps,TapForge CN,Lead,1,2843.89,551.39,3395.2799999999997,0,0,2917.0236322475535,1
2020-01-01,EMP00050,Employee_50,Backend Engineer,LiveOps,TapForge CN,Mid,1,3386.19,605.02,3991.21,0,0,3557.2703214138414,1
